id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
272335,EXCELLENT APARTMENT IN COPACABANA!!,7506316,Vitor,,Copacabana,-22.9623,-43.17389,Entire home/apt,163,4,214,2019-12-07,1.87,1,265,4,
272631,Comfort em Copacabana,1426830,Neyde,,Copacabana,-22.9675,-43.18666,Private room,196,2,22,2018-02-14,0.25,2,354,0,
273261,Amazing Huge Apartment in Leblon,533566,Lucas,,Leblon,-22.98632,-43.22936,Entire home/apt,5613,2,0,,,1,365,0,
273333,Suite charmosa no Jardim Botânico,625565,Kakau,,Jardim Botânico,-22.96612,-43.21899,Private room,120,3,20,2017-12-24,0.17,2,327,1,
273363,Lindo quarto para longas temporadas,556738,Casa Da Carmen E,,Santa Teresa,-22.91825,-43.17872,Private room,55,90,4,2015-03-11,0.08,4,174,0,
273463,2 bedroom apart with view to the lagoon and garage,319672,Valeria,,Lagoa,-22.97542,-43.19857,Entire home/apt,289,2,474,2021-08-12,4.43,4,145,51,
273496,Luxury Accommodation in Hip Leblon,4022675,Thea & Gui,,Leblon,-22.98161,-43.22189,Entire home/apt,522,3,52,2020-02-25,0.73,1,208,2,
273753,Beautiful room for students,556738,Casa Da Carmen E,,Santa Teresa,-22.91709,-43.18068,Private room,55,60,2,2013-12-03,0.03,4,356,0,
274116,Comfortable apart in Santa Teresa - Rio de Janeiro,1433502,Norberto,,Santa Teresa,-22.91984,-43.1865,Entire home/apt,144,4,35,2017-04-06,0.43,1,230,3,
274328,"IpanemaPenthouse, Very best location",1137583,Clara & Francisco,,Ipanema,-22.98465,-43.19794,Entire home/apt,577,5,87,2017-11-16,0.86,1,137,0,
274552,APT LAPA. BOA NEGOCIAÇÃO CARNAVAL ATÉ 5 PESSOAS!,1435630,Arilson,,Centro,-22.91415,-43.18757,Entire home/apt,500,4,2,2017-01-12,0.02,1,365,0,
276986,Priv bed/bathroom w/ A/C near Ipanema beach subway,1446638,Daniel & Raquel,,Ipanema,-22.98126,-43.19943,Private room,168,3,10,2014-07-12,0.09,1,208,0,
277124,Beach and Mountain beauty in Rio!,72111,David,,São Conrado,-22.99804,-43.25947,Private room,506,2,12,2014-06-22,0.10,1,364,0,
278679,"5 min a pé - Praia de Copacabana, Metrô, WiFi II",449677,Renato / Louri,,Copacabana,-22.98069,-43.19277,Entire home/apt,169,6,22,2021-07-21,2.28,6,28,6,
278745,Luxury Apartment - in Ipanema,529105,Alex,,Ipanema,-22.98141,-43.20911,Entire home/apt,1900,7,1,2013-06-25,0.01,3,365,0,
280625,"Fascinating Rio, on the hills!",496656,Marcia  Longras,,Botafogo,-22.94265,-43.18768,Private room,138,3,21,2016-09-23,0.61,8,365,0,
280765,STUDIO RIO LAPA CARNIVAL,1464031,Erika,,Santa Teresa,-22.91543,-43.18419,Entire home/apt,194,3,4,2013-09-15,0.04,4,364,0,
281459,ORLA LAGOA - 2 QTOS PERTO METRÔ & IPANEMA,1116738,Nilda,,Lagoa,-22.97406,-43.20676,Entire home/apt,370,3,9,2019-03-10,0.25,1,0,0,
282071,"Rio, hospedagem e tranquilidade",1470188,Jaqueline,,Flamengo,-22.9365,-43.17868,Entire home/apt,365,2,36,2016-08-14,0.34,2,365,0,
284762,"10People Ipanema/Copa (Páscoa, Boat Show, Feriado",1408960,Celina,,Copacabana,-22.98277,-43.1936,Entire home/apt,336,2,7,2014-06-23,0.08,2,354,0,
285363,Pet Friendly Apartment in Copacabana for up to 4 people 150m from the beach CaviRio PI401,1381764,Cavi Rio - Fabio,,Copacabana,-22.9619,-43.1749,Entire home/apt,259,2,105,2019-02-28,0.88,22,256,1,
286677,a ocean view quadruple room in copacabana,1429181,Samuel,,Copacabana,-22.96633,-43.17754,Private room,250,2,33,2016-08-08,0.29,8,180,0,
286702,double/twin bedroom studio in copa,1429181,Samuel,,Copacabana,-22.96333,-43.17483,Entire home/apt,121,3,126,2020-09-14,1.09,8,340,0,
286788,triple ocean view room in copacaban,1429181,Samuel,,Copacabana,-22.96633,-43.17754,Private room,180,2,19,2014-06-28,0.20,8,186,0,
286792,triple ocean view room in copacaban,1429181,Samuel,,Copacabana,-22.96745,-43.17654,Private room,180,2,1,2019-01-02,0.03,8,182,0,
288758,517 Studio in Copacabana available,1500426,Rio,,Copacabana,-22.98484,-43.19215,Entire home/apt,150,30,25,2014-07-07,0.21,61,356,1,
289898,double/twin ocean view room in copa,1429181,Samuel,,Copacabana,-22.96633,-43.17754,Private room,180,2,4,2019-01-01,0.06,8,183,0,
290503,"5 min a pé - Praia de Copacabana, Metrô, WiFi III",449677,Renato / Louri,,Copacabana,-22.98069,-43.19277,Entire home/apt,179,6,28,2021-08-25,0.25,6,9,4,
291290,Apartment in Copacabana / RIO,402478,Sascha,,Copacabana,-22.97566,-43.18893,Entire home/apt,359,4,4,2016-02-11,0.04,2,357,0,
291771,Beautiful Newly Renovated Studio in Copacabana !,1511425,Renata,,Copacabana,-22.96343,-43.1905,Entire home/apt,2981,4,16,2014-03-06,0.13,1,83,0,
293166,THE BEST PLACE FOR THE CARNIVAL IN RIO,1464031,Erika,,Santa Teresa,-22.9144,-43.18163,Entire home/apt,226,3,1,2017-01-13,0.02,4,364,0,
293171,PRECIOSO PISO EN EL CORAZON DE RIO,1464031,Erika,,Santa Teresa,-22.9155,-43.18423,Entire home/apt,226,3,0,,,4,364,0,
294292,"Copacabana, Cozy and Central",1309444,Sonia,,Copacabana,-22.96849,-43.18863,Private room,250,2,43,2020-02-27,0.38,3,235,0,
295493,Delicious new and beautifull 2 bedrooms apartment,1526160,Mariana,,Laranjeiras,-22.9409,-43.19129,Entire home/apt,250,2,8,2014-06-29,0.81,2,327,2,
295955,Acogedor departamento en un barrio precioso de Río,1527388,Ana,,Laranjeiras,-22.93477,-43.17963,Entire home/apt,134,29,16,2020-01-07,0.19,1,221,0,
297908,Studio em Santa Teresa/Lapa,690494,Eduardo & Raimundo,,Santa Teresa,-22.91735,-43.18133,Entire home/apt,156,2,49,2021-10-07,0.55,1,322,14,
299352,Santa Teresa Q ENSUITE for 2 people,1543711,Ezio,,Santa Teresa,-22.92978,-43.19623,Private room,835,2,7,2012-07-16,0.07,2,365,0,
